country_name,gdp_per_capita,electricity_access_pct,renewable_share_pct,energy_use_per_capita,urban_population_pct,country_code
Gambia,6837.717826,62.1,49.24,972.6679,62.8876899795928,
Georgia,4697.983652,100.0,25.22,19659.346,61.0789605093733,GEO
Germany,46794.89929,100.0,17.17,44467.746,82.0211432579125,DEU
Ghana,2246.625578,83.5,41.8,3135.595,58.3654868038581,GHA
Greece,19133.75776,100.0,18.51,29966.309,78.9967856500534,GRC
Grenada,10827.43529,93.120964,10.37,10655.754,36.5628000454229,GRD
Guatemala,4638.634943,95.742004,62.92,5851.735,55.9547027274763,GTM
Guinea,1058.143368,42.2,65.44,1201.7898,38.0713036688655,GIN
Guinea-Bissau,749.453747,30.961557,86.24,703.1273,46.113204421822,GNB
Guyana,6609.51128,91.91576,11.35,14184.612,26.477717988557,GUY
Haiti,1312.770636,45.990234,76.4,1184.3462,55.0372652481002,HTI
Honduras,2556.456891,91.1,45.96,5640.568,58.7850728104829,HND
Hungary,16735.65978,100.0,13.64,28131.205,70.491825943218,HUN
Iceland,68941.46223,100.0,81.07,175527.73,94.1819039916522,ISL
India,2100.751461,97.308266,32.93,6731.805,35.3788972368389,IND
Indonesia,4135.201531,98.85,19.09,8474.4795,58.7509635387997,IDN
Iraq,5980.626918,99.992004,0.43,15430.376,69.8861494108913,IRQ
Ireland,80886.61574,100.0,12.34,38270.875,64.3470379255585,IRL
Israel,43951.24773,100.0,4.47,35085.457,91.536188843818,ISR
Italy,33641.63375,100.0,17.27,30464.062,69.6047535143071,ITA
Jamaica,5369.498371,99.36762,9.09,15387.241,58.9301585439922,JAM
Japan,40777.6087,100.0,7.69,40868.688,92.1901718034531,JPN
Jordan,4405.487109,100.0,8.17,11258.242,92.9501393764286,JOR
Kazakhstan,9812.595808,100.0,1.7,43404.29,62.072531584162,KAZ
Kenya,1912.647867,69.7,68.08,1946.3412,31.8937831721599,KEN
Kiribati,1601.861869,90.03285,41.03,2592.4326,62.4620431275642,KIR
Kuwait,32373.25112,100.0,0.06,94612.555,100.0,KWT
Kyrgyzstan,6837.717826,99.87424,27.88,10582.124,62.8876899795928,
Latvia,17926.84159,100.0,41.52,23394.7,68.4839492628509,LVA
Lebanon,7578.172368,99.97487,5.46,18447.385,90.703695784554,LBN
Lesotho,1113.37214,44.50021,39.47,2188.859,43.6780334209246,LSO
Liberia,672.3404992,23.1,87.24,1100.8312,55.5387986654968,LBR
Libya,7685.948132,68.6424,2.8,32421.873,87.8854066107749,LBY
Lithuania,19575.76848,100.0,33.53,24873.117,68.8285833315315,LTU
Luxembourg,113218.7133,100.0,16.45,76273.7,94.8438702866393,LUX
Madagascar,522.9895243,31.04,82.77,678.70404,32.4339893339844,MDG
Malawi,591.8463896,11.2,73.02,537.8198,17.268503531213,MWI
Malaysia,11432.823,100.0,5.11,37823.5,76.9170296648992,MYS
Maldives,10561.61351,100.0,1.11,18567.896,41.9982152717385,MDV
Mali,879.0431873,47.836277,76.64,1231.7151,31.6075621182225,MLI
Malta,30186.19596,100.0,7.7,80081.51,95.6546264490509,MLT
Mauritania,1743.302901,45.830032,24.7,4149.229,60.6068586411829,MRT
Mauritius,11097.16898,100.0,8.94,22800.158,39.0162147027917,MUS
Mexico,9950.45008,99.6,10.34,17903.295,79.7538805976118,MEX
Mongolia,4404.84583,97.22991,3.32,24279.39,70.9566040039062,MNG
Montenegro,8910.650834,100.0,38.74,20460.55,65.5422314706266,MNE
Morocco,3235.00066,99.6,10.69,7267.464,62.7998124018197,MAR
Mozambique,506.6416391,29.67445,78.08,2446.9106,36.4332337447237,MOZ
Myanmar,1271.111575,68.35853,57.85,3197.22,30.4499084074136,MMR
