country_name,gdp_per_capita,electricity_access_pct,renewable_share_pct,energy_use_per_capita,urban_population_pct,country_code,log_gdp_per_capita,log_energy_use_per_capita,energy_pressure_index,infrastructure_score,readiness_score,readiness_label
Oman,17700.70349,100.0,0.0,81070.86,79.4440302814714,OMN,9.781416156303802,11.303091200854125,0.3897,89.722,56.48,Medium
Pakistan,1288.556325,74.12769,43.36,4400.1157,39.1734368360905,PAK,7.16205350408829,8.389613355945192,0.012,56.6506,49.41,Low
Panama,15774.25494,95.81633,18.91,27875.5,65.9958447685488,PAN,9.66619784829309,10.235539318973816,0.1087,80.9061,62.04,High
Papua New Guinea,2820.306397,59.662975,53.09,3159.5166,15.4061816403333,PNG,7.944955318007268,8.058490774232052,0.0071,37.5346,49.14,Low
Paraguay,5380.963322,99.7,60.09,19903.92,69.8622585886961,PRY,8.590808516324945,9.89872221633566,0.0382,84.7811,70.11,High
Peru,7027.612207,95.55136,27.12,9949.632,85.1912729600355,PER,8.857744555217199,9.205391345723422,0.0349,90.3713,64.72,High
Philippines,3485.340844,95.64508,26.73,5104.391,55.4520983215477,PHL,8.156607996400695,8.538052319242666,0.018,75.5486,56.32,Medium
Poland,15732.20313,100.0,12.18,30777.799,59.9705468695101,POL,9.6635286072357,10.33458138778821,0.1299,79.9853,59.61,Medium
Portugal,23330.81729,100.0,28.19,28468.56,61.3281907341332,PRT,10.057573256966815,10.256590725287886,0.0983,80.6641,66.43,High
Puerto Rico,32850.54861,100.0,2.42,24532.93,62.8876899795928,,10.39975416465854,10.10781233640529,0.1151,81.4438,61.32,High
Qatar,62276.42869,100.0,0.04,208021.3,99.3219891728394,QAT,11.0393543388079,12.24540056447517,0.9996,99.661,56.85,Medium
Romania,12899.34611,100.0,23.54,19839.047,52.1674778928768,ROU,9.465009420222398,9.89545774978767,0.0729,76.0837,61.14,Medium
Rwanda,820.1492886,40.368607,77.86,525.5729,29.8849714294083,RWA,6.710704930437217,6.266389783527577,0.0006,35.1268,48.97,Low
Saint Kitts and Nevis,6837.717826,100.0,1.58,23235.219,62.8876899795928,,8.830355540706028,10.053467504098132,0.1099,81.4438,53.63,Low
Saint Lucia,6837.717826,99.50218,9.75,15259.877,62.8876899795928,,8.830355540706028,9.63304777369822,0.0662,81.1949,56.34,Medium
Saint Vincent and the Grenadines,6837.717826,100.0,5.68,8642.675,62.8876899795928,,8.830355540706028,9.064583118585835,0.0392,81.4438,55.77,Medium
Samoa,4322.868457,99.2,34.21,7697.959,17.5029115108018,WSM,8.371905756695982,8.94884040389694,0.0243,58.3515,53.23,Low
Sao Tome and Principe,1987.579702,74.9672,37.09,3418.4949,68.8710170184884,STP,7.595175945312948,8.13724812909092,0.0103,71.9191,55.2,Medium
Saudi Arabia,23139.79798,100.0,0.03,82989.266,84.4554020211443,SAU,10.049352485027754,11.326478602792804,0.3988,92.2277,58.51,Medium
Senegal,1430.148259,70.4,37.2,2753.3909,55.2368169057304,SEN,7.266232379361015,7.920951608214035,0.0083,62.8184,50.5,Low
Serbia,7417.203649,99.8,21.53,26602.787,62.3830029804177,SRB,8.911692211029399,10.188808853057422,0.1004,81.0915,59.29,Medium
Seychelles,16213.48076,100.0,1.47,45777.125,45.2898622460415,SYC,9.693659996027032,10.731561635918135,0.2168,72.6449,53.08,Low
Sierra Leone,521.7548367,22.7,75.44,513.0044,45.3626823156371,SLE,6.2591125906810525,6.24223182572981,0.0006,34.0313,45.78,Low
Singapore,65640.70795,100.0,0.84,158657.89,100.0,SGP,11.091966564822856,11.974511830739248,0.7563,100.0,61.09,Medium
Slovakia,6837.717826,100.0,17.64,33892.78,62.8876899795928,,8.830355540706028,10.430986795707916,0.1342,81.4438,57.49,Medium
Slovenia,25942.95477,100.0,20.86,37905.92,55.7577708405917,SVN,10.1636939046153,10.542888960155748,0.1442,77.8789,63.35,High
Somalia,419.3948077,49.2,95.03,227.57283,62.8876899795928,,6.041194288070196,5.431854890403764,0.0001,56.0438,57.58,Medium
South Sudan,1080.14718624765,6.707007,26.65,747.48596,21.3768190444906,SSD,6.985777965861507,6.618052446168728,0.0026,14.0419,29.43,Low
Spain,29555.3157,100.0,17.27,33764.863,80.315199821207,ESP,10.294052729269817,10.427205600693126,0.1343,90.1576,67.47,High
Sri Lanka,3852.265603,99.75857,49.91,4973.5986,20.2996997058686,LKA,8.256676276327655,8.512099962920527,0.012,60.0291,57.58,Medium
Sudan,610.9278615,53.96254,62.23,2459.3628,34.8673015510839,SDN,6.416614402198702,7.808064097727147,0.0045,44.4149,46.63,Low
Suriname,6853.693411,97.82542,14.4,21629.324,65.7641857200885,SUR,8.832688866123872,9.98185149803048,0.089,81.7948,57.45,Medium
Sweden,51939.42974,100.0,52.88,63283.47,88.8559748346228,SWE,10.857852758959949,11.055395238379123,0.1433,94.428,80.91,High
Switzerland,85334.51946,100.0,24.76,39156.45,85.4615370020764,CHE,11.354346053137313,10.57534597705741,0.1416,92.7308,75.33,High
Tajikistan,890.5444024,99.63321,38.56,8041.5947,26.1788063651548,TJK,6.792955242456617,8.992507033989458,0.0238,62.906,48.38,Low
Thailand,7817.009671,99.9,23.96,20792.385,61.8689338391321,THA,8.964185283369275,9.942390186261358,0.076,80.8845,60.47,Medium
Togo,893.3524541,52.36311,76.21,1304.0579,43.8148491605996,TGO,6.796099941439516,7.174002686588663,0.0015,48.089,53.46,Low
Tonga,4903.012138,98.4,1.77,6863.2144,21.1505271125521,TON,8.497808952735333,8.834076876111217,0.0324,59.7753,45.68,Low
Trinidad and Tobago,16637.16294,100.0,0.43,123712.94,53.961056681951,TTO,9.71945430804026,11.72572724402808,0.5922,76.9805,48.81,Low
Tunisia,3574.654024,100.0,12.2,10128.142,70.3585355691955,TUN,8.181903382172159,9.223171894741457,0.0427,85.1793,55.61,Medium
Turkey,9121.515167,100.0,14.12,21973.062,62.8876899795928,,9.118500830901713,9.997618036773185,0.0907,81.4438,58.6,Medium
Turkmenistan,7612.03518,99.9,0.06,57961.055,47.0875253910294,TKM,8.937617212338488,10.96754385129263,0.2785,73.4938,48.44,Low
Tuvalu,4055.89561,99.7,8.2,0.0,64.7254793441291,TUV,8.30817333203981,0.0,0.0,82.2127,54.77,Medium
Uganda,798.5857341,41.3,90.22,811.62756,31.2777698213557,UGA,6.68409376117144,6.700272898804243,0.0004,36.2889,52.5,Low
Ukraine,3661.456204,100.0,7.44,21661.146,69.5315643200148,UKR,8.205889295301608,9.98332159228618,0.0964,84.7658,53.53,Low
United Arab Emirates,42701.44305,100.0,0.67,134878.39,85.8171088279791,ARE,10.662011411865755,11.812136250686905,0.644,92.9086,58.18,Medium
United Kingdom,43070.49836,100.0,12.24,32893.76,83.2429544416085,GBR,10.67061676639126,10.40106865355185,0.1388,91.6215,68.4,High
United States,65279.52903,100.0,10.42,79489.016,80.1247798047184,USA,11.086449093618633,11.28338670785032,0.3423,90.0624,66.33,High
Uruguay,17688.01501,99.9,60.76,19985.01,95.5981951588181,URY,9.780699104993094,9.902787807771857,0.0377,97.7491,80.54,High
Uzbekistan,1784.009816,100.0,1.57,16212.221,50.9986686706543,UZB,7.487179193358283,9.69358229949399,0.0767,75.4993,45.59,Low
Vanuatu,3116.297759,64.59019,31.86,3154.4717,22.2866933360645,VUT,8.044721802635104,8.056893272516323,0.0103,43.4384,46.04,Low
Yemen,6837.717826,72.751076,3.11,1475.9852,62.8876899795928,,8.830355540706028,7.297758262169734,0.0069,67.8194,50.82,Low
Zambia,1305.001031,43.0,84.5,2983.8816,45.4703838491279,ZMB,7.174725099269449,8.001315360048402,0.0022,44.2352,56.11,Medium
Zimbabwe,1316.740657,46.781475,81.5,3003.6553,39.8933716820696,ZWE,7.183673925594454,8.007918131571113,0.0027,43.3374,55.04,Medium
